þÿ,Unnamed: 0,Satznr,Firmen_KZ,Firma1,Firma2,Strasse,PLZ,Ort,Telefon,Telefax,Homepage,Email,Position,Anrede,Titel,Vorname,Nachname,WZ2003_1,Bezeichn_1,WZ2003_2,Bezeichn_2,WZ2003_3,Bezeichn3,Ust_ID,Amtsgerich,Handelsreg,HandelArt,HandelDatu,Ortsteil,Ortszusatz,Bundesland,Vorwahl,Leitbereic,Einwohner,Flaeche,KFZ_KZ,GeoXY,ID_KZ,BranSuchBez,Land,Anz_Mitarb,Netzwerk,grid-id,Leistungspreis
0,0.0,153556607.0,1.0,Kalnik Josef KG,,Industriestr. 11,76831.0,Billigheim-Ingenheim,06349/96280,,,,,,,,,15.13.0,Fleischverarbeitung,'nan,,'nan,,,,,,,Billigheim,,Rheinland-Pfalz,6349.0,76800.0,3995.0,22*96,SÜW,49°8´10.456655 8°6´52.662491,2.0,,DEUTSCHLAND,101 bis 500,EnergieSüdwest* GV EnergieSüdwest AG,76829001,81.3
1,1.0,137980401.0,1.0,Brezel-Ecker-Backshops GmbH,,Vogelbacher Weg 90,66424.0,Homburg,06841/97160,06841/971677,,,,,,,,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),'nan,,'nan,,,Saarbrücken,HRB 3402,Aenderung,20120820.0,Erbach,,Saarland,6841.0,66400.0,44611.0,82*64,HOM,49°20´55.898448 7°20´51.74303,1.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Homburg GmbH* gesamtes Stromnetz,66424001,92.01
2,2.0,181951782.0,1.0,Brezel-Ecker* Gesellschaft mbH,,Vogelbacher Weg 90,66424.0,Homburg,06841/9933881,,,,,,,,,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),'nan,,'nan,,,Saarbrücken,HRB 2288,Aenderung,20120820.0,Erbach,,Saarland,6841.0,66400.0,44611.0,82*64,HOM,49°20´55.898448 7°20´51.74303,1.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Homburg GmbH* gesamtes Stromnetz,66424001,92.01
5,5.0,120445648.0,1.0,Hela Gewürzwerk Hermann Laue GmbH & Co. KG,,Beimoorweg 11,22926.0,Ahrensburg,04102/4960,04102/496104,www.hela.eu,info@hela.eu,,,,,,15.87.0,Herstellung von Würzmitteln und Saucen,'nan,,'nan,,,,,,,,,Schleswig-Holstein,4102.0,22900.0,30167.0,35*3,OD,53°40´49.851443 10°15´8.879651,1.0,,DEUTSCHLAND,101 bis 500,Schleswig-Holstein Netz AG - Grundversorger E.ON Vertrieb* ehemals Ahrensburg,24768402,122.18
7,7.0,192743403.0,1.0,De Mäkelbörger Backwaren GmbH,,Warliner Str. 2,17034.0,Neubrandenburg,0395/45020,0395/4502190,www.demaekelboerger.de,info@demaekelboerger.de,,,,,,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),'nan,,'nan,,,,,,,Industrieviertel,,Mecklenburg-Vorpommern,395.0,17000.0,68451.0,85*64,NB,53°33´55.355076 13°17´1.977108,1.0,Bäckereien,DEUTSCHLAND,101 bis 500,Neubrandenburger Stadtwerke GmbH* gesamtes Stromnetz,17033001,78.38
12,12.0,139680065.0,1.0,Goldeck Süßwaren GmbH & Co. KG,,Am Güterbahnhof,6712.0,Zeitz,03441/6210,,,,,,,,,15.84.0,Herstellung von Süßwaren (ohne Dauerbackwaren),'nan,,'nan,,,,,,,Zeitz,,Sachsen-Anhalt,3441.0,6690.0,29434.0,24*63,BLK,51°3´39.130919 12°8´18.900419,2.0,,DEUTSCHLAND,101 bis 500,REDINET Burgenland GmbH,6712001,119.24
21,21.0,145757163.0,1.0,Südzucker AG,,Albrechtstr. 54,6712.0,Zeitz,03441/8990,03441/899721,,,,,,,,15.84.0,Herstellung von Süßwaren (ohne Dauerbackwaren),52.11.1,Einzelhandel mit Nahrungsmitteln* Getränken und Tabakwaren* ohne ausgeprägten Schwerpunkt,'nan,,,,,,,Zeitz,,Sachsen-Anhalt,3441.0,6690.0,29434.0,24*63,BLK,51°3´2.283084 12°6´55.366307,2.0,Süßwaren,DEUTSCHLAND,101 bis 500,REDINET Burgenland GmbH,6712001,119.24
22,22.0,184224793.0,1.0,Milchhof Magdeburg GmbH,,Ebendorfer Chaussee 70,39128.0,Magdeburg,0391/24220,0391/2422129,,,,,,,,15.51.0,Milchverarbeitung,'nan,,'nan,,,,,,,Neustädter Feld,,Sachsen-Anhalt,391.0,39000.0,226675.0,200*94,MD,52°9´58.372920 11°37´1.534259,2.0,,DEUTSCHLAND,101 bis 500,Netze Magdeburg* Stammgebiet,39106001,144.08
23,23.0,147586495.0,1.0,BÄKO Weser-Ems Bäcker- & Konditoren e.G.,,Holler Landstr. 250-256,26135.0,Oldenburg,0441/9711197,0441/97110,www.baeko-weser-ems.de,info@baeko-weser-ems.de,,,,,,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),15.81.2,Herstellung von Konditorwaren,'nan,,DE117471934,,,,,Osternburg,,Niedersachsen,441.0,26000.0,158394.0,102*96,OL,53°8´23.649143 8°15´53.340120,1.0,Bäckereibedarf,DEUTSCHLAND,101 bis 500,EWE NETZ GmbH,26122101,53.16
24,24.0,133524703.0,1.0,Stadtbäckerei Friedrich Gatenbröcker GmbH,,Weststr. 42,45891.0,Gelsenkirchen,0209/700880,0209/7008829,www.baeckerei-gatenbroecker.de,info@stadtbaeckerei-gatenbroecker.de,,,,,,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),'nan,,'nan,,,,,,,Erle,,Nordrhein-Westfalen,209.0,45800.0,270107.0,104*86,GE,51°33´8.879184 7°5´14.94779,1.0,Bäckereien,DEUTSCHLAND,101 bis 500,ELE Verteilnetz GmbH* gesamtes Stromnetz,45879001,80.96
